PKN,BIN,BIG,IPA,IPS,MTK,PJO
88,90,86,89,85,85,94
84,83,80,78,82,82,81
86,89,90,89,86,87,93
88,87,90,90,91,86,86
85,95,86,86,84,83,80
83,87,83,87,79,78,75
83,80,84,80,82,77,78
98,97,96,94,95,95,92
77,77,76,78,81,76,78
81,80,81,80,82,78,79
77,77,76,83,79,79,78
83,93,92,80,86,83,79
75,78,76,79,79,76,77
85,84,82,86,79,78,77
82,82,82,79,82,79,79
82,89,87,84,81,83,81
83,79,82,83,83,83,82
84,86,80,83,85,80,81
97,95,95,96,93,97,92
91,93,95,93,94,88,95
83,94,87,79,88,85,83
81,85,79,86,78,89,77
77,76,76,78,78,75,75
83,83,80,85,80,84,85
76,76,76,80,78,78,77
85,80,87,87,84,83,79
92,96,98,93,95,94,94
85,88,83,90,84,83,77
81,86,91,85,79,82,80
92,95,93,90,88,91,91
82,77,82,79,78,76,76
75,79,76,79,78,76,75
88,95,88,83,87,92,83
80,79,81,80,79,80,79
83,91,82,81,79,79,79
75,77,76,78,79,77,77
83,84,81,85,81,79,75
80,80,76,81,80,77,75
81,82,81,81,82,83,75
89,88,90,89,88,90,92
84,91,77,81,80,79,79
80,82,81,79,75,79,77
88,93,92,90,92,86,92
87,90,91,81,83,82,81
80,79,84,83,77,84,83
77,77,75,84,77,75,75
87,88,90,87,88,89,92
76,79,78,80,80,79,78
83,79,78,78,79,81,75
81,84,84,82,84,80,84
80,77,80,79,80,77,79
83,87,83,83,84,86,86
85,90,90,87,81,85,82
75,77,76,79,79,77,75
84,83,82,83,82,83,84
78,79,77,84,81,78,78
80,77,80,78,77,79,78
75,78,76,80,79,76,77
82,86,86,80,87,83,83
75,79,80,77,75,75,75
86,91,82,80,84,79,75
79,77,79,75,75,77,75
94,93,94,94,92,89,95
81,82,76,76,76,78,77
76,76,81,82,75,76,75
94,96,94,94,95,91,91
94,96,97,95,94,95,93
92,95,93,90,88,90,93
81,83,82,78,77,77,77
81,79,81,80,77,77,77
78,88,93,83,87,83,86
79,80,80,82,85,80,84
83,81,84,81,88,79,75
82,80,82,87,81,81,81
80,78,84,77,77,79,78
80,82,76,78,75,76,77
84,78,82,84,82,78,79
77,75,76,79,78,76,78
87,86,89,95,83,80,77
87,84,94,84,84,87,89
82,89,87,81,87,82,81
87,90,83,83,87,87,86
80,78,76,76,75,76,75
80,80,76,75,76,77,76
80,80,78,81,80,77,77
75,77,76,79,78,77,77
79,84,77,77,77,77,75
83,79,86,79,79,83,75
85,79,79,82,83,81,77
83,89,80,84,79,84,79
77,77,78,76,75,76,76
81,80,82,83,81,85,77
90,91,94,94,90,93,90
81,79,80,77,76,76,75
90,92,93,94,93,90,91
79,82,81,78,80,77,76
82,76,76,76,76,77,77
81,81,78,85,81,82,85
84,86,85,82,89,87,89
84,86,84,82,85,83,84
77,77,80,78,77,76,75
91,89,90,81,85,94,89
81,80,78,78,77,79,77
98,92,93,89,92,89,92
81,76,78,76,76,78,78
81,81,75,78,81,76,77
92,86,88,85,91,87,93
85,95,90,86,85,83,80
83,76,81,84,82,83,79
87,92,86,80,91,86,82
90,91,90,90,93,87,91
92,97,94,94,94,91,92
96,93,93,90,91,90,98
79,80,79,76,75,76,75
76,76,76,78,78,79,79
81,82,81,82,79,80,77
85,83,80,84,85,82,82
79,83,78,81,76,81,81
79,77,81,83,80,79,78
90,91,94,89,90,89,94
98,93,93,90,95,86,95
86,94,93,88,86,88,83
81,79,82,86,80,79,77
75,82,75,78,81,79,80
76,77,82,78,76,77,75
90,89,90,87,90,82,85
98,96,95,94,97,94,93
82,78,79,78,78,77,76
84,93,87,78,79,84,79
81,78,80,77,80,77,75
82,79,82,78,76,77,75
83,84,78,82,81,83,78
81,83,78,85,76,78,78
89,93,87,90,88,89,93
78,81,89,79,84,80,78
79,80,77,79,78,77,78
75,77,76,78,78,76,77
82,76,83,82,80,79,77
96,92,93,92,92,89,90
86,86,92,85,84,87,88
86,77,79,84,82,82,81
91,91,90,90,92,91,92
80,84,83,80,80,83,78
76,80,76,83,81,76,77
80,76,76,76,75,78,76
86,89,90,90,93,87,93
92,90,90,88,92,88,93
84,84,85,80,78,78,85
82,84,77,81,76,78,79
79,85,84,78,76,78,79
90,91,90,95,92,93,92
83,84,79,81,81,82,80
83,91,83,88,78,81,79
94,96,95,95,95,95,95
81,78,82,79,77,79,78
82,85,82,79,77,79,76
83,90,88,85,86,84,79
86,94,88,86,86,83,86
76,76,76,79,78,76,75
83,85,83,82,85,86,77
87,80,75,78,81,75,77
94,94,93,94,92,91,91
81,93,83,83,89,82,82
89,84,87,88,86,80,85
87,87,91,89,93,88,94
76,76,76,77,77,75,77
89,90,93,90,88,90,92
75,77,75,75,75,75,77
90,87,90,90,92,88,90
91,91,88,92,94,86,94
87,89,85,88,85,84,93
80,92,88,86,82,80,80
92,94,92,90,87,87,92
91,91,93,92,93,91,91
85,85,83,80,84,81,76
86,94,85,91,88,90,85
81,80,81,81,79,80,84
81,84,84,78,78,80,78
82,78,79,79,79,81,78
92,95,94,96,96,95,94
86,89,86,89,88,83,80
79,77,83,81,76,80,80
79,76,80,78,75,76,77
81,77,82,84,81,79,77
81,86,80,87,82,80,76
93,79,82,80,83,83,83
80,79,76,75,77,77,78
77,76,81,79,76,77,77
86,87,93,89,92,85,85
90,90,92,90,94,88,90
77,77,75,84,77,75,75
86,89,89,97,89,85,79
86,91,93,87,79,93,81
85,93,92,91,95,93,86
98,94,93,92,95,90,92
82,77,81,87,81,84,80
83,79,85,80,77,81,75
80,77,79,79,80,78,77
91,95,94,91,94,92,91
82,83,81,82,80,82,79
89,90,92,84,88,83,92
98,96,94,96,95,91,95
85,87,84,87,86,83,80
88,91,88,92,91,91,92
79,80,76,78,76,78,78
98,93,94,90,92,91,96
87,88,89,92,64,91,94
81,87,84,84,79,84,79
88,87,85,89,92,83,92
79,77,83,77,77,76,77
88,85,91,89,90,89,93
86,89,87,87,86,83,87
92,96,94,94,94,91,94
81,92,85,83,81,81,76
91,95,91,90,94,89,92
83,88,80,84,85,79,79
90,92,93,89,90,85,92
86,90,87,84,89,89,77
83,81,85,81,79,78,82
83,89,89,86,86,81,81
93,93,88,94,90,94,93
84,82,84,86,76,76,77
81,82,80,81,82,76,78
85,93,84,90,89,83,83
82,86,77,83,76,78,75
81,91,80,90,83,86,81
81,80,87,78,83,82,78
82,77,83,84,80,80,78
80,79,81,79,81,81,80
84,82,81,87,81,83,82
86,89,90,90,93,90,91
82,80,80,77,76,77,79
96,97,97,97,96,96,98
84,82,80,79,81,82,79
80,81,76,76,75,75,76
98,95,93,97,98,94,95
96,90,93,90,90,86,90
84,81,83,80,83,81,79
80,81,82,78,75,77,78
81,78,80,80,78,80,78
82,79,85,82,82,78,77
98,97,98,98,96,97,94
89,89,94,83,85,94,89
88,92,93,89,92,87,91
86,86,85,80,87,83,92
88,89,90,90,93,88,94
97,91,93,89,92,88,92
79,80,79,77,77,79,77
81,75,80,83,76,77,77
81,79,76,75,75,77,76
88,87,86,88,85,85,93
87,89,92,85,85,86,78
94,97,97,94,94,94,95
